what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1376240243297
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1376240243317
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1376240243327
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1376240243327
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1376240243337
os,sysinfo,,,"win32",1376240243347
arch,sysinfo,,,"x86",1376240243347
ws,sysinfo,,,"win32",1376240243347
locale,sysinfo,,,"en_IN",1376240243347
processors,sysinfo,,,"8",1376240243347
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1376240243347
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1376240243347
java.specification.name,sysinfo,,,"Java Platform API Specification",1376240243347
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376240243347
java.specification.version,sysinfo,,,"1.6",1376240243347
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1376240243347
java.version,sysinfo,,,"1.6.0_24",1376240243347
java.vm.info,sysinfo,,,"mixed mode",1376240243347
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1376240243347
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376240243347
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376240243347
java.vm.specification.version,sysinfo,,,"1.0",1376240243347
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1376240243347
java.vm.version,sysinfo,,,"19.1-b02",1376240243347
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1376240243367
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1376240646197
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1376240646227
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1376240646277
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1376240652267
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1376240653597
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1376240653697
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1376240654397
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1376240654407
